ds,y,y,CPI,PPI,Real GDP,Industrial Production,Balance of Trade,M1,Housing Starts,Employment Report,Treasury Yields
2004-01-31,1131.13,10488.07,186.3,145.9,14221.15,95.11,-44.65,1306,1911,130769,2.31
2003-12-31,1111.92,10453.92,185.5,145.1,14145.65,94.87,-44.08,1306.2,2057,130588,2.43
2003-11-30,1058.2,9782.46,185,144.6,14145.65,94.93,-39.9,1299.1,2083,130474,2.29
2003-10-31,1050.71,9801.12,184.9,144.8,14145.65,94.21,-41.39,1297.8,1967,130454,2.47
2003-09-30,995.97,9275.06,185.1,144,13985.07,94.08,-41.84,1297.2,1939,130254,2.48
2003-08-31,1008.01,9415.82,184.5,143.7,13985.07,93.52,-39.89,1296.4,1833,130149,2.49
2003-07-31,990.31,9233.8,183.7,142.8,13985.07,93.66,-41.32,1287.5,1897,130191,2.66
2003-06-30,974.5,8985.44,183.1,142.7,13751.54,93.25,-39.7,1281,1867,130194,2.21
2003-05-31,963.59,8850.26,182.9,141.9,13751.54,93.09,-41.05,1268.8,1751,130196,2.05
2003-04-30,916.92,8480.09,183.2,142.2,13751.54,93.07,-42.04,1250,1643,130177,2.35
2003-03-31,848.18,7992.13,183.9,144,13634.25,93.74,-43.81,1239.3,1726,130232,2.31
2003-02-28,841.15,7891.08,183.6,142.7,13634.25,93.95,-40.08,1238.2,1629,130444,2.18
2003-01-31,855.7,8053.81,182.6,141.1,13634.25,93.82,-41.16,1227.3,1853,130580,2.27
2002-12-31,879.82,8341.63,181.8,139.7,13559.03,93.11,-43.61,1220.2,1788,130472,2.21
2002-11-30,936.31,8896.09,181.5,140,13559.03,93.57,-39.52,1209.6,1753,130615,2.15
2002-10-31,885.76,8397.03,181.2,140,13559.03,93.08,-35.1,1204,1648,130628,2.22
2002-09-30,815.28,7591.93,180.8,139.2,13538.07,93.37,-36.09,1196.1,1804,130501,1.91
2002-08-31,916.07,8663.5,180.5,138.7,13538.07,93.24,-36.39,1187.1,1633,130587,2.01
2002-07-31,911.62,8736.59,180,138.6,13538.07,93.22,-33.91,1199.1,1655,130590,2.22
2002-06-30,989.81,9243.26,179.6,138.8,13478.15,93.45,-34.73,1193.3,1717,130684,1.98
2002-05-31,1067.14,9925.25,179.5,138.4,13478.15,92.57,-34.03,1189.3,1764,130634,1.85
2002-04-30,1076.92,9946.22,179.3,138.7,13478.15,92.18,-33.97,1186.9,1592,130623,1.86
2002-03-31,1147.39,10403.94,178.5,138.8,13397,91.8,-31.16,1193.3,1642,130717,1.69
2002-02-28,1106.73,10106.13,178,138,13397,91.06,-32.5,1190.6,1829,130736,1.82
2002-01-31,1130.21,9920,177.7,137.7,13397,91.08,-29.68,1190.7,1698,130852,1.87
2001-12-31,1148.08,10021.5,177.4,138,13280.86,90.51,-27.49,1183.2,1568,130982,2.03
2001-11-30,1139.45,9851.56,177.5,138.5,13280.86,90.49,-30,1171,1602,131142,1.91
2001-10-31,1059.78,9075.14,177.6,139,13280.86,90.93,-30.59,1165.7,1540,131454,1.81
2001-09-30,1040.94,8847.56,178.1,141.3,13244.78,91.33,-30.22,1205.7,1562,131771,1.74
2001-08-31,1133.58,9949.75,177.4,140.7,13244.78,91.68,-28.09,1150.2,1567,132028,1.2
2001-07-31,1211.23,10522.81,177.4,140.1,13244.78,91.79,-29.9,1138.9,1670,132177,1.26
2001-06-30,1224.42,10502.4,177.7,141.8,13299.98,92.32,-29.15,1126.2,1636,132299,1.17
2001-05-31,1255.82,10911.94,177.3,142.3,13299.98,92.88,-27.1,1118.5,1605,132410,1.19
2001-04-30,1249.46,10734.97,176.4,142,13299.98,93.45,-30.52,1116.7,1649,132463,1.06
2001-03-31,1160.33,9878.78,176.1,141.2,13222.69,93.72,-32.81,1108.9,1590,132747,0.74
2001-02-28,1239.94,10495.28,176,141.9,13222.69,93.94,-29.3,1101.2,1625,132789,0.51
2001-01-31,1366.01,10887.36,175.6,141.7,13222.69,94.54,-35.2,1096.7,1600,132698,0.54
2000-12-31,1320.28,10786.85,174.6,140.5,13260.51,95.16,-33.42,1088.6,1532,132709,0.02
2000-11-30,1314.95,10414.49,174.2,140.2,13260.51,95.42,-32.72,1092.4,1551,132556,-0.15
2000-10-31,1429.4,10971.14,173.9,139.5,13260.51,95.4,-33.38,1098.7,1549,132351,-0.16
2000-09-30,1436.51,10650.92,173.6,139,13178.42,95.68,-33.33,1099.7,1507,132353,-0.18
2000-08-31,1517.68,11215.1,172.7,137.9,13178.42,95.31,-29.93,1100.2,1541,132230,-0.44
2000-07-31,1430.83,10521.98,172.7,138.2,13178.42,95.59,-31.25,1103.5,1463,132236,-0.26
2000-06-30,1454.6,10447.9,172.2,138.1,13160.84,95.74,-30.41,1102.6,1559,132061,-0.33
2000-05-31,1420.6,10522.34,171.2,137,13160.84,95.64,-29.17,1104.9,1575,132105,-0.4
2000-04-30,1452.43,10733.92,170.9,136.9,13160.84,95.48,-28.6,1115.6,1626,131888,-0.46
2000-03-31,1498.58,10921.93,171,137.3,12924.18,94.8,-30.56,1107.5,1604,131596,-0.48
2000-02-29,1366.42,10128.31,170,136.6,12924.18,94.46,-29.79,1108.6,1737,131124,-0.11
2000-01-31,1394.46,10940.54,169.3,135.2,12924.18,94.18,-27.13,1122.1,1636,131005,0.07
1999-12-31,1469.25,11497.12,168.8,135.2,12877.59,94.16,-25.94,1122.2,1708,130772,0.23
1999-11-30,1388.91,10877.81,168.4,134.9,12877.59,93.44,-25.13,1110.7,1648,130466,0.18
1999-10-31,1362.93,10729.87,168.1,134.4,12877.59,93,-23.37,1103.3,1608,130177,0.24
1999-09-30,1282.71,10336.96,167.8,134.5,12662.39,91.77,-22.7,1096.5,1635,129772,0.28
1999-08-31,1320.41,10829.28,167.1,133.5,12662.39,92.16,-22.63,1099.2,1648,129569,0.25
1999-07-31,1328.72,10655.15,166.7,132.7,12662.39,91.78,-23.1,1099.1,1669,129414,0.28
1999-06-30,1372.71,10970.81,166,132.4,12498.69,91.2,-22.89,1099.8,1559,129089,0.27
